N,f_over_Mpl,f_GeV,epsilon,d_g,eta_peak,M_GeV,TR_GeV,m_eV,Omega_h2,slope
6,1.1943215116604912e-08,29081728808.93296,3.2246680814833267e-13,1e-06,512.5680095545507,838754.1913480397,83875419.13480397,7.5e-29,3.2857110117476093e-18,0.49999999999999994
6,1.0644401677007286e-08,25919118083.51274,2.8739884527919675e-13,1e-06,575.1107658050295,941097.6813156185,94109768.13156185,7.5e-29,2.6099330277756245e-18,0.49999999999999994
6,9.486832980505142e-09,23100438307.53002,2.561444904736389e-13,1e-06,645.2848925009788,1055928.9657369133,105592896.57369132,7.5e-29,2.0731434947016047e-18,0.49999999999999994
6,8.455148793793351e-09,20588287312.88681,2.282890174324205e-13,1e-06,724.021557668358,1184771.7859888047,118477178.59888047,7.5e-29,1.646756412476448e-18,0.49999999999999994
6,7.535659294528749e-09,18349330382.1775,2.0346280095227626e-13,1e-06,812.3655490163493,1329335.808015732,132933580.80157322,7.5e-29,1.3080651141433134e-18,0.49999999999999994
6,6.716163415705016e-09,16353857917.241714,1.813364122240355e-13,1e-06,911.4891376354914,1491539.3085580652,149153930.85580653,7.5e-29,1.0390330530218712e-18,0.49999999999999994
6,5.985786944906651e-09,14575391210.847694,1.616162475124796e-13,1e-06,1022.7076333228014,1673534.6295189357,167353462.95189357,7.5e-29,8.253332908270476e-19,0.49999999999999994
6,5.33483823011677e-09,12990331090.334335,1.4404063221315281e-13,1e-06,1147.4968379436702,1877736.7382336487,187773673.82336488,7.5e-29,6.555855359618285e-19,0.49999999999999994
6,4.754679577383334e-09,11577644770.92842,1.2837634858935004e-13,1e-06,1287.5126284259495,2106855.2726189326,210685527.26189327,7.5e-29,5.207501014913295e-19,0.49999999999999994
6,4.237612633868268e-09,10318586763.469233,1.1441554111444324e-13,1e-06,1444.6129292407386,2363930.4964218307,236393049.64218307,7.5e-29,4.136465088501004e-19,0.49999999999999994
6,3.7767762353825e-09,9196450133.156387,1.019729583553275e-13,1e-06,1620.8823659313275,2652373.6416725,265237364.16725,7.5e-29,3.2857110117476094e-19,0.49999999999999994
6,3.366055362905897e-09,8196344808.675859,9.088349479845924e-14,1e-06,1818.6599268275736,2976012.1736606406,297601217.3660641,7.5e-29,2.609933027775625e-19,0.49999999999999994
6,3.0000000000000012e-09,7305000000.000003,8.100000000000005e-14,1e-06,2040.5699999999995,3339140.5790745434,333914057.9074544,7.5e-29,2.0731434947016045e-19,0.49999999999999994
6,2.6737528144012333e-09,6510588103.067003,7.219132598883332e-14,1e-06,2289.557197294961,3746577.351230188,374657735.1230188,7.5e-29,1.646756412476448e-19,0.49999999999999994
6,2.3829847041728472e-09,5802567754.660883,6.434058701266689e-14,1e-06,2568.925427544822,4203728.92855003,420372892.855003,7.5e-29,1.3080651141433135e-19,0.49999999999999994
6,2.1238373531524126e-09,5171543954.926125,5.734360853511514e-14,1e-06,2882.3817374308555,4716661.434716163,471666143.4716163,7.5e-29,1.0390330530218708e-19,0.49999999999999994
6,1.8928720334405834e-09,4609143401.42782,5.110754490289576e-14,1e-06,3234.085501740369,5292181.172445896,529218117.2445896,7.5e-29,8.253332908270474e-20,0.49999999999999994
